Modelo,Marca,Ano,Quilometragem,Preço
FIAT SIENA ESSENCE DUALOGIC 1.6 FLEX 16V 4P,FIAT,2016,53000,R$ 40.000
CITROEN AIRCROSS TENDANCE 1.6 FLEX 16V 5P AUT.,CITROEN,2015,60000,R$ 42.000
GM - CHEVROLET SPIN ADVANTAGE 1.8 8V ECONO.FLEX 5P AUT.,GM - CHEVROLET,2018,71000,R$ 52.000
FORD FOCUS SEDAN 2.0 16V/2.0 16V FLEX 4P AUT.,FORD,2014,22242,R$ 50.000
,,,,
GM - CHEVROLET CAPTIVA,GM - CHEVROLET,2014,66000,R$ 48.000
GM - CHEVROLET COBALT LTZ 1.8 8V ECONO.FLEX 4P AUT.,GM - CHEVROLET,2015,60735,R$ 43.000
HYUNDAI HB20 PREMIUM 1.6 FLEX 16V AUT.,HYUNDAI,2015,78000,R$ 43.000
PEUGEOT 408 SEDAN GRIFFE 1.6 TURBO 16V 4P AUT.,PEUGEOT,2014,88,R$ 44.900
RENAULT DUSTER TECHROAD 2.0 HI-FLEX 16V AUT.,RENAULT,2014,67000,R$ 42.300
FORD FIESTA SEL 1.0 12V ECOBOOST AUT. 5P,FORD,2017,27000,R$ 49.000
GM - CHEVROLET COBALT LTZ 1.8 8V ECONO.FLEX 4P AUT.,GM - CHEVROLET,2015,47000,R$ 42.800
HYUNDAI CRETA PRESTIGE 2.0 16V FLEX AUT.,HYUNDAI,2017,39000,R$ 42.000
PEUGEOT 308 ALLURE 2.0 FLEX 16V 5P AUT.,PEUGEOT,2016,46000,R$ 52.900
KIA MOTORS CERATO 1.6 16V AUT.,KIA MOTORS,2014,999,R$ 54.900
HYUNDAI TUCSON 2.0 16V FLEX AUT.,HYUNDAI,2016,67000,R$ 49.500
MITSUBISHI LANCER,MITSUBISHI,2015,74000,R$ 54.990
GM - CHEVROLET CRUZE LT 1.8 16V FLEXPOWER 4P AUT.,GM - CHEVROLET,2014,74000,R$ 52.900
RENAULT FLUENCE SED. DYNAMIQUE 2.0 16V FLEX AUT.,RENAULT,2016,51000,R$ 52.500
CITROEN C3 PICASSO GLX 1.6 FLEX 16V 5P AUT.,CITROEN,2014,72000,R$ 33.900
PEUGEOT 2008 ALLURE 1.6 FLEX 16V 5P AUT.,PEUGEOT,2016,51000,R$ 48.000
FORD FOCUS SEDAN 2.0 16V/2.0 16V FLEX 4P AUT.,FORD,2014,69800,R$ 43.000
RENAULT SANDERO STEPWAY HI-POWER 1.6 8V 5P,RENAULT,2016,37000,R$ 46.900
FORD ECOSPORT TITANIUM 2.0 16V FLEX 5P AUT.,FORD,2015,78000,R$ 53.900
FORD ECOSPORT TITANIUM 2.0 16V FLEX 5P AUT.,FORD,2014,50000,R$ 51.890
HONDA FIT EX/S/EX 1.5 FLEX/FLEXONE 16V 5P AUT.,HONDA,2016,60000,R$ 53.000
FORD FOCUS FASTBACK SE/SE PLUS 2.0 FLEX AUT.,FORD,2016,56000,R$ 54.000
TOYOTA ETIOS X 1.3 FLEX 16V 5P AUT.,TOYOTA,2018,68000,R$ 47.990
FORD FOCUS 1.6 S/SE/SE PLUS FLEX 8V/16V  5P,FORD,2016,78000,R$ 53.490
HYUNDAI TUCSON 2.0 16V AUT.,HYUNDAI,2017,53000,R$ 50.000
HYUNDAI 2.0 MPFI GLS 16V 143CV 2WD FLEX 4P AUT,HYUNDAI,2016,70000,R$ 49.900
FORD FOCUS 1.6 S/1.6 SE FLEX 16V 5P AUT,FORD,2015,48000,R$ 54.000
PEUGEOT 408 SED. BUS. PRO 1.6 TB FLEX AUT.(PCD),PEUGEOT,2018,29500,R$ 54.800
FIAT STRADA TREKKING 1.6 16V FLEX CD,FIAT,2015,1,R$ 49.900
PEUGEOT 208 GRIFFE 1.6 FLEX 16V 5P AUT.,PEUGEOT,2017,67000,R$ 48.990
CITROEN C4 LOUNGE TENDANCE 1.6 TURBO 4P AUT,CITROEN,2015,79000,R$ 43.500
FORD FIESTA 1.6 16V FLEX AUT. 5P,FORD,2018,20000,R$ 51.000
VW - VOLKSWAGEN CROSSFOX I MOTION 1.6 MI T. FLEX 8V 5P,VW - VOLKSWAGEN,2015,50000,R$ 43.999
HYUNDAI HB20 C.STYLE/C.PLUS 1.6 FLEX 16V AUT.,HYUNDAI,2015,60000,R$ 47.400
FORD FIESTA SEL 1.6 16V FLEX  AUT. 5P,FORD,2018,24000,R$ 54.900
FIAT STRADA ADV.1.8 16V LOCKER DUALO. FLEX CD,FIAT,2014,80000,R$ 53.900
CITROEN AIRCROSS SHINE 1.6 FLEX 16V 5P AUT.,CITROEN,2016,63000,R$ 51.900
HYUNDAI HB20 C.STYLE/C.PLUS 1.6 FLEX 16V AUT.,HYUNDAI,2015,61000,R$ 46.900
FIAT GRAND SIENA ESSEN.SUBLIME DUAL. 1.6 FLEX,FIAT,2014,110,R$ 38.000
TOYOTA ETIOS XLS SEDAN 1.5 FLEX 16V 4P AUT.,TOYOTA,2019,53000,R$ 54.000
CITROEN C3 EXCL./EXCL.SOLAR./SONORA 1.6 FLEX AUT,CITROEN,2014,100,R$ 37.900
FORD FIESTA TIT./TIT.PLUS 1.6 16V FLEX AUT.,FORD,2015,69000,R$ 52.900
PEUGEOT 308 ALLURE 2.0 FLEX 16V 5P AUT.,PEUGEOT,2015,68000,R$ 42.000
FORD ECOSPORT SE 1.6 16V FLEX 5P AUT.,FORD,2016,52000,R$ 49.000
FORD FOCUS TITA/TITA PLUS 2.0  FLEX 5P AUT.,FORD,2014,0,R$ 52.900
FORD FOCUS 2.0 16V/SE/SE PLUS FLEX 5P AUT.,FORD,2014,1,R$ 44.000
CITROEN C3 PICASSO GLX 1.6 FLEX 16V 5P AUT.,CITROEN,2015,55000,R$ 35.900
GM - CHEVROLET SPIN LT 1.8 8V ECONO.FLEX 5P AUT.,GM - CHEVROLET,2015,65000,R$ 39.900
FORD FIESTA TIT./TIT.PLUS 1.6 16V FLEX AUT.,FORD,2015,0,R$ 43.900
GM - CHEVROLET ONIX HATCH SELECAO 1.0 8V FLEX 5P MEC.,GM - CHEVROLET,2019,38000,R$ 39.000
FIAT GRAND SIENA ESSEN.SUBLIME DUAL. 1.6 FLEX,FIAT,2016,52000,R$ 35.800
GM - CHEVROLET PRISMA SED. LT 1.4 8V FLEXPOWER 4P,GM - CHEVROLET,2016,42900,R$ 42.900
FORD KA 1.5 SE PLUS 12V FLEX 5P AUT.,FORD,2019,15000,R$ 53.500
HYUNDAI HB20 COMF./C.PLUS/C.STYLE 1.0 FLEX 12V,HYUNDAI,2015,69000,R$ 42.990
HONDA FIT LX 1.5 FLEXONE 16V 5P AUT.,HONDA,2015,57000,R$ 51.250
HYUNDAI TUCSON 2.0 16V FLEX AUT.,HYUNDAI,2014,68000,R$ 47.900
FORD FOCUS 1.6 S/SE/SE PLUS FLEX 8V/16V  5P,FORD,2015,0,R$ 48.900
FIAT LINEA ABSOLUTE 1.9/1.8 FLEX DUALOGIC 4P,FIAT,2015,75000,R$ 39.900
HYUNDAI HB20S  IMPRESS 1.6 FLEX 16V AUT.,HYUNDAI,2015,51,R$ 43.900
FORD ECOSPORT FREESTYLE 2.0 16V FLEX 5P AUT.,FORD,2015,74000,R$ 55.000
CITROEN C4 LOUNGE TENDANCE 1.6 TURBO FLEX AUT.,CITROEN,2015,71000,R$ 50.000
RENAULT FLUENCE SED. DYN. PLUS 2.0 16V FLEX AUT.,RENAULT,2016,60000,R$ 46.000
PEUGEOT 3008 GRIFFE 1.6 TURBO 16V 5P AUT.,PEUGEOT,2014,60000,R$ 45.000
GM - CHEVROLET PRISMA SED. LT 1.4 8V FLEXPOWER 4P AUT.,GM - CHEVROLET,2017,50000,R$ 53.900
GM - CHEVROLET CRUZE LT 1.8 16V FLEXPOWER 4P AUT.,GM - CHEVROLET,2014,106,R$ 46.000
GM - CHEVROLET SONIC HB LTZ 1.6 16V FLEXPOWER 5P AUT.,GM - CHEVROLET,2014,56000,R$ 39.990
FORD FIESTA TIT./TIT.PLUS 1.6 16V FLEX AUT.,FORD,2014,60000,R$ 38.500
GM - CHEVROLET COBALT LTZ 1.8 8V ECONO.FLEX 4P AUT.,GM - CHEVROLET,2018,62000,R$ 52.000
CITROEN C3 EXCL. 1.6 VTI FLEX START 16V 5P AUT.,CITROEN,2018,21000,R$ 55.000
FORD ECOSPORT TITANIUM 2.0 16V FLEX 5P AUT.,FORD,2015,1,R$ 54.900
HONDA FIT LX 1.4/ 1.4 FLEX 8V/16V 5P AUT.,HONDA,2014,62000,R$ 41.800
,,2016,67,R$ 44.000
CITROEN AIRCROSS GLX ATACAMA 1.6 FLEX 16V 5P AUT,CITROEN,2014,67000,R$ 37.500
FIAT IDEA ESSENCE DUALOGIC 1.6 FLEX 16V 5P,FIAT,2014,72000,R$ 31.000
CITROEN AIRCROSS,CITROEN,2017,51758,R$ 49.000
VW - VOLKSWAGEN SPACEFOX COMF. I MOTION 1.6 FLEX 8V 5P,VW - VOLKSWAGEN,2018,32000,R$ 54.900
HYUNDAI HB20X PREMIUM 1.6 FLEX 16V AUT.,HYUNDAI,2014,999,R$ 46.900
PEUGEOT 2008 ALLURE 1.6 FLEX 16V 5P AUT.,PEUGEOT,2018,51500,R$ 51.000
GM - CHEVROLET COBALT ELITE 1.8 8V ECONO.FLEX 4P AUT.,GM - CHEVROLET,2016,45000,R$ 54.000
GM - CHEVROLET S10 BLAZER  DTI 2.8 4X2 TURBO DIESEL,GM - CHEVROLET,2020,42197,R$ 30.000
HYUNDAI TUCSON 2.0 16V FLEX AUT.,HYUNDAI,2014,65000,R$ 45.000
PEUGEOT 208 GRIFFE 1.6 FLEX 16V 5P AUT.,PEUGEOT,2014,72000,R$ 37.000
HONDA CIVIC SEDAN LXR 2.0 FLEXONE 16V AUT. 4P,HONDA,2014,10,R$ 54.900
MITSUBISHI LANCER GT 2.0 16V 160CV AUT.,MITSUBISHI,2014,77000,R$ 45.000
PEUGEOT 308 FELINE/GRIFFE 1.6 TURBO 16V 5P AUT.,PEUGEOT,2014,31913,R$ 47.000
RENAULT LOGAN DYNA. EASYR HI-FLEX 1.6 8V,RENAULT,2017,79000,R$ 39.500
GM - CHEVROLET COBALT LT 1.8 8V ECONO.FLEX 4P MEC.,GM - CHEVROLET,2015,35000,R$ 39.000
TOYOTA ETIOS XS 1.5 FLEX 16V 5P AUT.,TOYOTA,2018,77000,R$ 48.900
HYUNDAI HB20S C.STYLE/C.PLUS1.6 FLEX 16V AUT. 4P,HYUNDAI,2014,175,R$ 41.500
GM - CHEVROLET CRUZE LT 1.8 16V FLEXPOWER 4P AUT.,GM - CHEVROLET,2015,72000,R$ 55.000
GM - CHEVROLET CRUZE LT 1.8 16V FLEXPOWER 4P AUT.,GM - CHEVROLET,2014,60000,R$ 53.900
FORD FOCUS 2.0 16V/SE/SE PLUS FLEX 5P AUT.,FORD,2016,56000,R$ 54.500
HYUNDAI I30 1.8 16V AUT. 5P,HYUNDAI,2016,35000,R$ 52.800
CITROEN C4 LOUNGE TENDANCE 2.0 FLEX 4P AUT.,CITROEN,2016,56000,R$ 45.900
FORD FOCUS 1.6 S/1.6 SE FLEX 16V 5P AUT,FORD,2014,65000,R$ 46.000
FORD ECOSPORT TITANIUM 2.0 16V FLEX 5P AUT.,FORD,2014,118,R$ 49.900
PEUGEOT 2008 GRIFFE 1.6 FLEX 16V 5P AUT.,PEUGEOT,2016,65000,R$ 55.000
CITROEN C3 EXCL. 1.6 VTI FLEX START 16V 5P AUT.,CITROEN,2015,75000,R$ 42.000
HONDA FIT LX 1.5 FLEXONE 16V 5P AUT.,HONDA,2015,70000,R$ 53.500
CITROEN C4 TENDANCE 2.0 FLEX 16V 5P AUT.,CITROEN,2014,69000,R$ 41.900
FORD SE 1.6 POWERSHIFT AUT.,FORD,2016,34200,R$ 43.990
FORD CLUB WAGON XLT 4.9 V6,FORD,2020,2,R$ 6.500
HYUNDAI TUCSON 2.0 16V FLEX AUT.,HYUNDAI,2016,79000,R$ 49.800
CITROEN AIRCROSS SHINE 1.6 FLEX 16V 5P AUT.,CITROEN,2017,59000,R$ 51.900
PEUGEOT 2008 GRIFFE 1.6 FLEX 16V 5P AUT.,PEUGEOT,2016,70000,R$ 49.900
GM - CHEVROLET SPIN ADVANTAGE 1.8 8V ECONO.FLEX 5P AUT.,GM - CHEVROLET,2014,78800,R$ 39.800
MITSUBISHI LANCER GT 2.0 16V 160CV AUT.,MITSUBISHI,2015,62000,R$ 46.000
HYUNDAI HB20X STYLE 1.6 FLEX 16V AUT.,HYUNDAI,2015,80000,R$ 47.000
GM - CHEVROLET SPIN LT 1.8 8V ECONO.FLEX 5P AUT.,GM - CHEVROLET,2014,100,R$ 42.000
,JEEP,2015,4000,R$ 49.900
PEUGEOT 408 SEDAN ALLURE 2.0 FLEX 16V 4P AUT.,PEUGEOT,2014,75000,R$ 33.000
HYUNDAI 2.0 MPFI GLS 16V 143CV 2WD FLEX 4P AUT,HYUNDAI,2015,64900,R$ 48.000
CITROEN AIRCROSS TENDANCE 1.6 FLEX 16V 5P AUT.,CITROEN,2015,54000,R$ 37.900
GM - CHEVROLET PRISMA SED. ADVANT. 1.4 8V F.POWER AUT.,GM - CHEVROLET,2016,70450,R$ 46.000
GM - CHEVROLET PRISMA SED. LT 1.4 8V FLEXPOWER 4P AUT.,GM - CHEVROLET,2018,52000,R$ 54.900
NISSAN ALTIMA SL 2.5 16V 4P AUT.,NISSAN,2014,103,R$ 52.000
FORD FOCUS TITA/TITA PLUS 2.0  FLEX 5P AUT.,FORD,2015,67000,R$ 54.500
FORD FOCUS 2.0 16V/SE/SE PLUS FLEX 5P AUT.,FORD,2014,0,R$ 48.000
FIAT BRAVO SPORTING 1.8 FLEX 16V 5P,FIAT,2016,49000,R$ 49.900
HYUNDAI ELANTRA GLS 2.0 16V AUT.,HYUNDAI,2014,190,R$ 50.000
TOYOTA HILUX CD SRV 4X4 2.8 TDI DIESEL AUT.,TOYOTA,2021,300,R$ 0
GM - CHEVROLET SPIN ADVANTAGE 1.8 8V ECONO.FLEX 5P AUT.,GM - CHEVROLET,2014,76000,R$ 41.990
RENAULT FLUENCE SEDAN PRIVILÈGE 2.0 16V FLEX AUT,RENAULT,2017,51000,R$ 47.000
GM - CHEVROLET SPIN ADVANTAGE 1.8 8V ECONO.FLEX 5P AUT.,GM - CHEVROLET,2014,31311,R$ 37.900
CITROEN C4 GLX 2.0 FLEX 16V 5P AUT.,CITROEN,2014,1,R$ 28.000
PEUGEOT 408 SEDAN GRIFFE 1.6 TURBO 16V 4P AUT.,PEUGEOT,2014,70500,R$ 42.000
FIAT MOBI DRIVE 1.0 FLEX 6V 5P,FIAT,2019,55556,R$ 35.262
FORD FOCUS 1.6 S/1.6 SE FLEX 16V 5P AUT,FORD,2016,40000,R$ 55.000
FIAT FREEMONT 2.4 16V 5P AUT.,FIAT,2014,75,R$ 51.180
FORD FOCUS 1.6 S/1.6 SE FLEX 16V 5P AUT,FORD,2014,62000,R$ 47.900
FIAT UNO SPORTING DUAL./GSR 1.3 FLEX 8V 5P,FIAT,2017,29400,R$ 39.900
FORD FOCUS FASTBACK TIT./T.PLUS 2.0 FLEX AUT.,FORD,2016,61000,R$ 54.000
PEUGEOT 308 ALLURE 2.0 FLEX 16V 5P AUT.,PEUGEOT,2014,66666,R$ 20.000
FORD 1.6 SE HATCH 16V FLEX 4P POWERSHIFT,FORD,2015,44000,R$ 40.900
PEUGEOT 208 ACTIVE PACK 1.6 FLEX 16V 5P AUT.,PEUGEOT,2015,63000,R$ 35.000
VW - VOLKSWAGEN POLO HIGHLINE 200 TSI 1.0 FLEX 12V AUT.,VW - VOLKSWAGEN,2018,55000,R$ 55.000
FORD TITANIUM 1.6 POWERSHIFT AUT.,FORD,2017,72000,R$ 53.900
GM - CHEVROLET AGILE LTZ EASYTRONIC 1.4 8V FLEXPOWER 5P,GM - CHEVROLET,2014,75300,R$ 32.788
PEUGEOT 308 ALLURE 2.0 FLEX 16V 5P AUT.,PEUGEOT,2016,47000,R$ 48.500
VW - VOLKSWAGEN UP! BLACK/WHITE/RED I MOTION 1.0 FLEX 5P,VW - VOLKSWAGEN,2015,62081,R$ 31.990
FORD ECOSPORT SE 1.6 16V FLEX 5P AUT.,FORD,2017,47000,R$ 54.000
CITROEN AIRCROSS SHINE 1.6 FLEX 16V 5P AUT.,CITROEN,2017,59000,R$ 51.900
GM - CHEVROLET SPIN ACTIV 1.8 8V ECONO. FLEX 5P AUT.,GM - CHEVROLET,2017,64000,R$ 55.000
FIAT IDEA ADV./ ADV.LOCK.DUALOGIC 1.8 FLEX 5P,FIAT,2014,76260,R$ 33.000
RENAULT FLUENCE SEDAN PRIVILÈGE 2.0 16V FLEX AUT,RENAULT,2014,1,R$ 44.990
GM - CHEVROLET CRUZE HB SPORT LT 1.8 16V FLEXP. 5P AUT,GM - CHEVROLET,2014,75000,R$ 49.900
GM - CHEVROLET CRUZE LT 1.8 16V FLEXPOWER 4P AUT.,GM - CHEVROLET,2014,69,R$ 52.900
DODGE JOURNEY SXT 3.6 V6 AUT.,DODGE,2014,39000,R$ 50.000
GM - CHEVROLET PRISMA SED. LT 1.0 8V FLEXPOWER 4P,GM - CHEVROLET,2015,30000,R$ 50.000
JEEP RENEGADE LIM. EDIT. 1.8 4X2 FLEX 16V AUT,JEEP,2016,12000,R$ 40.000
GM - CHEVROLET SS10,GM - CHEVROLET,2015,49000,R$ 40.000
VW - VOLKSWAGEN GOL CITY 1.6 MI TOTAL FLEX 8V 4P,VW - VOLKSWAGEN,2016,7104,R$ 40.000
PEUGEOT 308 GRIFFE 1.6 TURBO FLEX 16V 5P AUT.,PEUGEOT,2015,24789,R$ 40.000
VW - VOLKSWAGEN GOLF COMFORTLINE 1.4 TSI 140CV AUT.,VW - VOLKSWAGEN,2015,30000,R$ 50.000
PEUGEOT 207 QUIKSILVER 1.4 FLEX 8V 3P,PEUGEOT,2014,40000,R$ 40.000
HONDA FIT PERSONAL 1.5 FLEXONE 16V 5P AUT.,HONDA,2015,30000,R$ 40.000
HONDA HR-V LX 1.8 FLEXONE 16V 5P AUT.,HONDA,2018,14578,R$ 20.000
CITROEN AIRCROSS EXCLUSIVE 1.6 FLEX 16V 5P AUT.,CITROEN,2015,0,R$ 42.900
HONDA FIT EXL 1.5 FLEX/FLEXONE 16V 5P AUT,HONDA,2015,49500,R$ 49.500
NISSAN VERSA UNIQUE 1.6 16V FLEXSTART 4P AUT.,NISSAN,2017,60000,R$ 53.900
RENAULT KWID 1.0 LIFE,RENAULT,2018,40000,R$ 50.000
HYUNDAI HB20 COMFORT PLUS 1.0 TB FLEX 12V MEC.,HYUNDAI,2016,30000,R$ 50.000
GM - CHEVROLET CAPTIVA SPORT FWD 2.4 16V 171/185CV,GM - CHEVROLET,2014,105,R$ 51.900
FIAT GRAND SIENA ESSENCE 1.6 FLEX 16V,FIAT,2016,38000,R$ 49.900
HYUNDAI HB20 C./C.PLUS/C.STYLE 1.6 FLEX 16V MEC.,HYUNDAI,2017,1,R$ 45.000
FORD ECOSPORT SE 2.0 16V FLEX 5P AUT.,FORD,2015,80000,R$ 48.000
HYUNDAI 2.0 MPFI GLS 16V 143CV 2WD FLEX 4P AUT,HYUNDAI,2016,80000,R$ 48.900
FORD FOCUS TITA/TITA PLUS 2.0  FLEX 5P AUT.,FORD,2016,58000,R$ 51.000
HYUNDAI HB20X PREMIUM 1.6 FLEX 16V AUT.,HYUNDAI,2015,75000,R$ 49.900
CITROEN C3 PICASSO EXCL. 1.6 FLEX 16V 5P AUT.,CITROEN,2014,75000,R$ 32.900
PEUGEOT 2008 GRIFFE 1.6 FLEX 16V 5P AUT.,PEUGEOT,2016,61000,R$ 53.800
FORD FIESTA SEL 1.6 16V FLEX  AUT. 5P,FORD,2017,65000,R$ 52.900
CITROEN C4 PICASSO/PIC. LA LUNA 2.0 16V  AUT.,CITROEN,2014,73800,R$ 40.900
FORD FOCUS 2.0 16V/SE/SE PLUS FLEX 5P AUT.,FORD,2015,52000,R$ 46.900
PEUGEOT 408,PEUGEOT,2018,60000,R$ 54.990
VW - VOLKSWAGEN VOYAGE I MOTION COMF/HGHLI.1.6 T.FLEX 8V,VW - VOLKSWAGEN,2015,10,R$ 41.500
FORD FIESTA SEL 1.6 16V FLEX  AUT. 5P,FORD,2017,41000,R$ 50.900
FIAT GRAND SIENA ESSENCE DUAL. 1.6 FLEX 16V,FIAT,2015,75000,R$ 36.988
FORD FOCUS 2.0 16V/SE/SE PLUS FLEX 5P AUT.,FORD,2014,0,R$ 46.900
HYUNDAI TUCSON,HYUNDAI,2016,67000,R$ 52.990
CITROEN C3 ATTRACTION 1.6 FLEX 16V 5P AUT.,CITROEN,2018,64510,R$ 45.990
FIAT BRAVO ESSENCE DUALOGIC 1.8 FLEX 16V 5P,FIAT,2016,43000,R$ 43.900
FORD FOCUS 2.0 16V/SE/SE PLUS FLEX 5P AUT.,FORD,2014,0,R$ 45.900
GM - CHEVROLET CRUZE HB SPORT LT 1.8 16V FLEXP. 5P MEC,GM - CHEVROLET,2014,10000,R$ 48.900
FORD FIESTA 1.6 16V FLEX AUT. 5P,FORD,2016,65000,R$ 47.900
CITROEN C4,CITROEN,2014,49000,R$ 41.565
HONDA CITY SEDAN LX 1.5 FLEX 16V 4P AUT.,HONDA,2015,41400,R$ 51.000
CITROEN AIRCROSS EXCLUSIVE 1.6 FLEX 16V 5P AUT.,CITROEN,2014,59000,R$ 43.000
HONDA FIT LX 1.5 FLEXONE 16V 5P AUT.,HONDA,2015,73610,R$ 52.900
FORD FOCUS 2.0 16V/SE/SE PLUS FLEX 5P AUT.,FORD,2015,30506,R$ 54.900
HYUNDAI 1.6 OCEAN MANUAL,HYUNDAI,2014,0,R$ 41.900
HYUNDAI ELANTRA GLS 2.0 16V FLEX AUT.,HYUNDAI,2014,120,R$ 54.900
RENAULT SANDERO STEPWAY HI-FLEX 1.6 16V 5P AUT.,RENAULT,2016,53000,R$ 43.990
PEUGEOT 308 GRIFFE 1.6 TURBO FLEX 16V 5P AUT.,PEUGEOT,2014,39277,R$ 47.990
FIAT BRAVO ESSENCE DUALOGIC 1.8 FLEX 16V 5P,FIAT,2016,51902,R$ 46.990
